DPT;Privé / Public;UAI;OR_TYPE;OR_PATRONYME;OR_VILLE;FINAL NUMERIQUE;FINAL PAPIER;CHOIX;Ordinateurs;Tablettes;département;commune (COG);téléphone;Type;boîte postale;CP;sigle;commune;statut;arrondissement;adresse;longitude (X);cedex;n° SIRET;nom;geo;latitude (Y);université;académie;geo
75;PUB;0750647W;LGT;TURGOT;PARIS 03EME;0;1;Papier;0;0;Paris;75103;01 53 01 14 10;Lycée;;75003;;Paris;Public;03;69 rue de Turbigo;2.35846;;19750647000016;Lycée Turgot;48.866, 2.35846;48.866;;Paris;48.866, 2.35846
75;PUB;0750654D;LG;HENRI IV;PARIS 05EME;0;1;Papier;0;0;Paris;75105;01 44 41 21 21;Lycée;;75005;;Paris;Public;05;23 rue Clovis;2.349101;;19750654600013;Lycée Henri-IV;48.846149, 2.349101;48.846149;;Paris;48.846149, 2.349101
75;PUB;0750674A;LT;JULES-SIEGFRIED;PARIS 10EME;0;1;Papier;0;0;Paris;75110;01 45 26 50 95;Lycée;;75010;;Paris;Public;10;12 rue d'Abbeville;2.350076;;19750674400014;Lycée Jules Siegfried;48.878806, 2.350076;48.878806;;Paris;48.878806, 2.350076
75;PUB;0750684L;LG;GABRIEL-FAURE;PARIS 13EME;0;1;Papier;0;0;Paris;75113;01 45 85 22 98;Lycée;;75013;;Paris;Public;13;81 avenue de Choisy;2.361588;;19750684300014;Lycée Gabriel Fauré;48.824034, 2.361588;48.824034;;Paris;48.824034, 2.361588
75;PUB;0750692V;LGT;EMILE-DUBOIS;PARIS 14EME;0;1;Papier;0;0;Paris;75114;01 44 16 85 90;Lycée;;75014;;Paris;Public;14;14 rue Emile Dubois;2.336686;;19750692600017;Lycée Emile Dubois;48.831752, 2.336686;48.831752;;Paris;48.831752, 2.336686
75;PUB;0750693W;LG;BUFFON;PARIS 15EME;0;1;Papier;0;0;Paris;75115;01 44 38 78 70;Lycée;;75015;;Paris;Public;15;16 boulevard Pasteur;2.312298;;19750693400011;Lycée Buffon;48.842992, 2.312298;48.842992;;Paris;48.842992, 2.312298
75;PUB;0750698B;LGT;CLAUDE-BERNARD;PARIS 16EME;0;1;Papier;0;0;Paris;75116;01 46 51 16 63;Lycée;;75016;;Paris;Public;16;1 avenue du Parc des Princes;2.25475;;19750698300018;Lycée Claude Bernard;48.841973, 2.25475;48.841973;;Paris;48.841973, 2.25475
75;PUB;0750699C;LG;JANSON-DE-SAILLY;PARIS 16EME;0;1;Papier;0;0;Paris;75116;01 55 73 28 00;Lycée;;75016;;Paris;Public;16;106 rue de la Pompe;2.279447;;19750699100011;Lycée Janson de Sailly;48.865689, 2.279447;48.865689;;Paris;48.865689, 2.279447
75;PUB;0750704H;LG;CARNOT;PARIS 17EME;0;1;Papier;0;0;Paris;75117;01 56 21 36 36;Lycée;;75017;;Paris;Public;17;145 boulevard Malesherbes;2.308108;;19750704900017;Lycée Carnot;48.884491, 2.308108;48.884491;;Paris;48.884491, 2.308108
75;PUB;0750770E;LP;ABBE-GREGOIRE (L');PARIS 03EME;1;0;Numérique;0;1;Paris;75105;01 43 54 18 73;Lycée professionnel;;75005;;Paris;Public;05;30 rue Saint-Jacques;2.345695;;;LP Abbé Grégoire site Saint-Jacques;48.851104, 2.345695;48.851104;;Paris;48.851104, 2.345695
75;PUB;0750776L;LP LYC METIER;MARIE-LAURENCIN;PARIS 10EME;1;0;Numérique;1;0;Paris;75110;01 44 52 16 16;Lycée professionnel;;75010;;Paris;Public;10;114 quai de Jemmapes;2.363546;;19750776700014;LP Marie Laurencin;48.874639, 2.363546;48.874639;;Paris;48.874639, 2.363546
